Level,Department,WhyGO ID,WhyGO Owner,Why Statement,Goal Statement,Status,Approved By,Outcome Description,Outcome Owner,Annual Target,Q1 Target,Q2 Target,Q3 Target,Q4 Target,Unit
Department,Generative,dg_generative_26_m0ah,Fill Isgro,"Kartel can't scale by adding headcount for every new client. The Generative Platform is how we multiply capacity. The Internal Enterprise Platform gives Generative and Production teams custom tools that accelerate their workflow. The Community Ecosystem Platform powers Daniel's Talent Engine—enabling generation credits, challenges, and the certification pipeline that attracts and retains talent. Kartel Labs is where the team builds vibe-coded internal tools that optimize their own jobs and prepare them to onboard Pod 2, compounding efficiency over time.","Expand the Generative Platform across three pillars—Internal Enterprise tools, Community Ecosystem infrastructure (with Niels), and Kartel Labs internal tool development—with monthly Demo Days and adoption across Generative, Production, and Community teams.",active,[],Kartel Labs: Team-built tools (optimize role + Pod 2 onboarding),Fill + Team,N/A,2,4,5,6,text
Department,Generative,dg_generative_26_m0ah,Fill Isgro,"Kartel can't scale by adding headcount for every new client. The Generative Platform is how we multiply capacity. The Internal Enterprise Platform gives Generative and Production teams custom tools that accelerate their workflow. The Community Ecosystem Platform powers Daniel's Talent Engine—enabling generation credits, challenges, and the certification pipeline that attracts and retains talent. Kartel Labs is where the team builds vibe-coded internal tools that optimize their own jobs and prepare them to onboard Pod 2, compounding efficiency over time.","Expand the Generative Platform across three pillars—Internal Enterprise tools, Community Ecosystem infrastructure (with Niels), and Kartel Labs internal tool development—with monthly Demo Days and adoption across Generative, Production, and Community teams.",active,[],Monthly Kartel Labs Demo Day,Fill,N/A,3,6,9,12,text
Department,Generative,dg_generative_26_myqp,Fill Isgro,"Kartel scales by deploying complete pods to enterprise clients—not individual hires. Each pod needs a Workflow Engineer, AI Generalist, Preditor, and Data/LoRA specialist working in sync. The core capability is building custom workflows on custom-trained data, then outputting content at scale while feeding approved outputs back into training data to continuously improve accuracy. If roles aren't clearly defined and this cycle isn't documented, we can't replicate the team—and every new client engagement becomes a scramble instead of a deployment. Critically, we must also discover how many concurrent clients one Generative pod can handle before we need to scale to Pod 2.","Every Generative team role is documented with a written playbook that is reviewed and approved as onboarding-ready, with pod capacity load-tested through real or pro-bono projects by end of Q1, and maximum concurrent client capacity per pod discovered and documented by EOY.",active,[],Role Playbooks completed (5 roles),Fill,N/A,2,4,5,5,text
Department,Generative,dg_generative_26_myqp,Fill Isgro,"Kartel scales by deploying complete pods to enterprise clients—not individual hires. Each pod needs a Workflow Engineer, AI Generalist, Preditor, and Data/LoRA specialist working in sync. The core capability is building custom workflows on custom-trained data, then outputting content at scale while feeding approved outputs back into training data to continuously improve accuracy. If roles aren't clearly defined and this cycle isn't documented, we can't replicate the team—and every new client engagement becomes a scramble instead of a deployment. Critically, we must also discover how many concurrent clients one Generative pod can handle before we need to scale to Pod 2.","Every Generative team role is documented with a written playbook that is reviewed and approved as onboarding-ready, with pod capacity load-tested through real or pro-bono projects by end of Q1, and maximum concurrent client capacity per pod discovered and documented by EOY.",active,[],Playbooks reviewed & approved as onboarding ready,Fill,N/A,1,3,5,5,text
Department,Generative,dg_generative_26_myqp,Fill Isgro,"Kartel scales by deploying complete pods to enterprise clients—not individual hires. Each pod needs a Workflow Engineer, AI Generalist, Preditor, and Data/LoRA specialist working in sync. The core capability is building custom workflows on custom-trained data, then outputting content at scale while feeding approved outputs back into training data to continuously improve accuracy. If roles aren't clearly defined and this cycle isn't documented, we can't replicate the team—and every new client engagement becomes a scramble instead of a deployment. Critically, we must also discover how many concurrent clients one Generative pod can handle before we need to scale to Pod 2.","Every Generative team role is documented with a written playbook that is reviewed and approved as onboarding-ready, with pod capacity load-tested through real or pro-bono projects by end of Q1, and maximum concurrent client capacity per pod discovered and documented by EOY.",active,[],Pod capacity load-tested (full cycle: workflow → LoRA → output → feedback),Fill,N/A,Tested,Validated,Optimized,Documented,text
Department,Generative,dg_generative_26_myqp,Fill Isgro,"Kartel scales by deploying complete pods to enterprise clients—not individual hires. Each pod needs a Workflow Engineer, AI Generalist, Preditor, and Data/LoRA specialist working in sync. The core capability is building custom workflows on custom-trained data, then outputting content at scale while feeding approved outputs back into training data to continuously improve accuracy. If roles aren't clearly defined and this cycle isn't documented, we can't replicate the team—and every new client engagement becomes a scramble instead of a deployment. Critically, we must also discover how many concurrent clients one Generative pod can handle before we need to scale to Pod 2.","Every Generative team role is documented with a written playbook that is reviewed and approved as onboarding-ready, with pod capacity load-tested through real or pro-bono projects by end of Q1, and maximum concurrent client capacity per pod discovered and documented by EOY.",active,[],Max concurrent clients per Gen pod (discovered),Fill,N/A,Test,Baseline,Validated,Documented,text
Department,Generative,dg_generative_26_nwsc,Fill Isgro,"The AI landscape evolves faster than any other space. What's cutting-edge today is outdated in months. The Generative team must stay ahead of the curve—systematically evaluating new tools, models, and techniques—so every deliverable uses the best available technology. Our competitive advantage is solving the 70% Problem through custom workflows and custom-trained models. Maintaining accuracy requires robust QC processes that measure bulk run success rates and continuous model optimization through the feedback loop.","Maintain technical leadership through systematic R&D, robust QC processes measuring bulk output success rates, and LoRA evaluation standards that support the 70% → 100% accuracy promise.",active,[],QC process documented and in use (bulk run success + visual standards),Fill,N/A,Done,—,—,—,text
Department,Generative,dg_generative_26_nwsc,Fill Isgro,"The AI landscape evolves faster than any other space. What's cutting-edge today is outdated in months. The Generative team must stay ahead of the curve—systematically evaluating new tools, models, and techniques—so every deliverable uses the best available technology. Our competitive advantage is solving the 70% Problem through custom workflows and custom-trained models. Maintaining accuracy requires robust QC processes that measure bulk run success rates and continuous model optimization through the feedback loop.","Maintain technical leadership through systematic R&D, robust QC processes measuring bulk output success rates, and LoRA evaluation standards that support the 70% → 100% accuracy promise.",active,[],"R&D reports (team explores, Fill synthesizes)",Fill,N/A,3,6,9,12,text
Department,Generative,dg_generative_26_nwsc,Fill Isgro,"The AI landscape evolves faster than any other space. What's cutting-edge today is outdated in months. The Generative team must stay ahead of the curve—systematically evaluating new tools, models, and techniques—so every deliverable uses the best available technology. Our competitive advantage is solving the 70% Problem through custom workflows and custom-trained models. Maintaining accuracy requires robust QC processes that measure bulk run success rates and continuous model optimization through the feedback loop.","Maintain technical leadership through systematic R&D, robust QC processes measuring bulk output success rates, and LoRA evaluation standards that support the 70% → 100% accuracy promise.",active,[],LoRA Eval tool deployed and integrated,Fill,N/A,MVP,v1.0,Optimized,—,text
Department,Generative,dg_generative_26_nwsc,Fill Isgro,"The AI landscape evolves faster than any other space. What's cutting-edge today is outdated in months. The Generative team must stay ahead of the curve—systematically evaluating new tools, models, and techniques—so every deliverable uses the best available technology. Our competitive advantage is solving the 70% Problem through custom workflows and custom-trained models. Maintaining accuracy requires robust QC processes that measure bulk run success rates and continuous model optimization through the feedback loop.","Maintain technical leadership through systematic R&D, robust QC processes measuring bulk output success rates, and LoRA evaluation standards that support the 70% → 100% accuracy promise.",active,[],Bulk run success rate (≥1 client-worthy output per batch),Fill,N/A,Baseline,TBD,TBD,TBD,text
Department,Generative,dg_generative_26_sv5k,Fill Isgro,"Kartel can't scale by adding headcount for every new client. The Generative Platform is how we multiply capacity. The Internal Enterprise Platform gives Generative and Production teams custom tools that accelerate their workflow. The Community Ecosystem Platform powers Daniel's Talent Engine—enabling generation credits, challenges, and the certification pipeline that attracts and retains talent. Kartel Labs is where the team builds vibe-coded internal tools that optimize their own jobs and prepare them to onboard Pod 2, compounding efficiency over time.","Expand the Generative Platform across three pillars—Internal Enterprise tools, Community Ecosystem infrastructure (with Niels), and Kartel Labs internal tool development—with monthly Demo Days and adoption across Generative, Production, and Community teams.",active,[],"Internal Enterprise Platform: Key use cases (LoRA, captioning, curation, chat)",Fill,N/A,1,2,3,4,text
Department,Generative,dg_generative_26_sv5k,Fill Isgro,"Kartel can't scale by adding headcount for every new client. The Generative Platform is how we multiply capacity. The Internal Enterprise Platform gives Generative and Production teams custom tools that accelerate their workflow. The Community Ecosystem Platform powers Daniel's Talent Engine—enabling generation credits, challenges, and the certification pipeline that attracts and retains talent. Kartel Labs is where the team builds vibe-coded internal tools that optimize their own jobs and prepare them to onboard Pod 2, compounding efficiency over time.","Expand the Generative Platform across three pillars—Internal Enterprise tools, Community Ecosystem infrastructure (with Niels), and Kartel Labs internal tool development—with monthly Demo Days and adoption across Generative, Production, and Community teams.",active,[],Community Ecosystem Platform: Core features live,Fill + Niels,N/A,MVP,v1.0,Iterate,Validated,text
Department,Generative,dg_generative_26_sv5k,Fill Isgro,"Kartel can't scale by adding headcount for every new client. The Generative Platform is how we multiply capacity. The Internal Enterprise Platform gives Generative and Production teams custom tools that accelerate their workflow. The Community Ecosystem Platform powers Daniel's Talent Engine—enabling generation credits, challenges, and the certification pipeline that attracts and retains talent. Kartel Labs is where the team builds vibe-coded internal tools that optimize their own jobs and prepare them to onboard Pod 2, compounding efficiency over time.","Expand the Generative Platform across three pillars—Internal Enterprise tools, Community Ecosystem infrastructure (with Niels), and Kartel Labs internal tool development—with monthly Demo Days and adoption across Generative, Production, and Community teams.",active,[],Platform adopted into standard workflow,Fill,N/A,—,Gen,+ Prod,+ Comm,text
Department,Generative,dg_generative_26_sv5k,Fill Isgro,"Kartel can't scale by adding headcount for every new client. The Generative Platform is how we multiply capacity. The Internal Enterprise Platform gives Generative and Production teams custom tools that accelerate their workflow. The Community Ecosystem Platform powers Daniel's Talent Engine—enabling generation credits, challenges, and the certification pipeline that attracts and retains talent. Kartel Labs is where the team builds vibe-coded internal tools that optimize their own jobs and prepare them to onboard Pod 2, compounding efficiency over time.","Expand the Generative Platform across three pillars—Internal Enterprise tools, Community Ecosystem infrastructure (with Niels), and Kartel Labs internal tool development—with monthly Demo Days and adoption across Generative, Production, and Community teams.",active,[],Kartel Labs: Team-built tools (optimize role + Pod 2 onboarding),Fill + Team,N/A,2,4,5,6,text
Department,Generative,dg_generative_26_sv5k,Fill Isgro,"Kartel can't scale by adding headcount for every new client. The Generative Platform is how we multiply capacity. The Internal Enterprise Platform gives Generative and Production teams custom tools that accelerate their workflow. The Community Ecosystem Platform powers Daniel's Talent Engine—enabling generation credits, challenges, and the certification pipeline that attracts and retains talent. Kartel Labs is where the team builds vibe-coded internal tools that optimize their own jobs and prepare them to onboard Pod 2, compounding efficiency over time.","Expand the Generative Platform across three pillars—Internal Enterprise tools, Community Ecosystem infrastructure (with Niels), and Kartel Labs internal tool development—with monthly Demo Days and adoption across Generative, Production, and Community teams.",active,[],Monthly Kartel Labs Demo Day,Fill,N/A,3,6,9,12,text
Department,Platform,dg_platform_26_1j69,Niels Hoffmann,"Kartel's platform ecosystem spans multiple systems—Enterprise Platform, Generative Platform, Community systems, and Kartel Labs. Today, each system manages users independently with fragmented authentication. This creates duplicated effort, inconsistent access control, and friction for both internal users and clients. Most critically, the Talent Engine depends on a seamless user journey: community members need to flow from Discord into the open parts of the Generative Platform, then into Production Platform when they qualify for pod work. Unified identity makes this journey possible.","Deploy unified authentication and centralized user management across all Kartel platforms, enabling the Community → Generative → Production user journey with single sign-on for all users (internal, client, and community).",draft,[],Centralized user management system live,Niels,N/A,Spec,MVP,v1.0,Live,text
Department,Platform,dg_platform_26_1j69,Niels Hoffmann,"Kartel's platform ecosystem spans multiple systems—Enterprise Platform, Generative Platform, Community systems, and Kartel Labs. Today, each system manages users independently with fragmented authentication. This creates duplicated effort, inconsistent access control, and friction for both internal users and clients. Most critically, the Talent Engine depends on a seamless user journey: community members need to flow from Discord into the open parts of the Generative Platform, then into Production Platform when they qualify for pod work. Unified identity makes this journey possible.","Deploy unified authentication and centralized user management across all Kartel platforms, enabling the Community → Generative → Production user journey with single sign-on for all users (internal, client, and community).",draft,[],"Identity providers supported (Google, Discord)",Niels,N/A,1,2,2,2,text
Department,Platform,dg_platform_26_1j69,Niels Hoffmann,"Kartel's platform ecosystem spans multiple systems—Enterprise Platform, Generative Platform, Community systems, and Kartel Labs. Today, each system manages users independently with fragmented authentication. This creates duplicated effort, inconsistent access control, and friction for both internal users and clients. Most critically, the Talent Engine depends on a seamless user journey: community members need to flow from Discord into the open parts of the Generative Platform, then into Production Platform when they qualify for pod work. Unified identity makes this journey possible.","Deploy unified authentication and centralized user management across all Kartel platforms, enabling the Community → Generative → Production user journey with single sign-on for all users (internal, client, and community).",draft,[],"Platforms integrated with SSO (Enterprise, Generative, Community, Labs)",Niels,N/A,—,1,2,4,text
Department,Platform,dg_platform_26_1j69,Niels Hoffmann,"Kartel's platform ecosystem spans multiple systems—Enterprise Platform, Generative Platform, Community systems, and Kartel Labs. Today, each system manages users independently with fragmented authentication. This creates duplicated effort, inconsistent access control, and friction for both internal users and clients. Most critically, the Talent Engine depends on a seamless user journey: community members need to flow from Discord into the open parts of the Generative Platform, then into Production Platform when they qualify for pod work. Unified identity makes this journey possible.","Deploy unified authentication and centralized user management across all Kartel platforms, enabling the Community → Generative → Production user journey with single sign-on for all users (internal, client, and community).",draft,[],Discord → Generative Platform connection (credits/generation access),Niels,N/A,MVP,v1.0,Live,Optimized,text
Department,Platform,dg_platform_26_1j69,Niels Hoffmann,"Kartel's platform ecosystem spans multiple systems—Enterprise Platform, Generative Platform, Community systems, and Kartel Labs. Today, each system manages users independently with fragmented authentication. This creates duplicated effort, inconsistent access control, and friction for both internal users and clients. Most critically, the Talent Engine depends on a seamless user journey: community members need to flow from Discord into the open parts of the Generative Platform, then into Production Platform when they qualify for pod work. Unified identity makes this journey possible.","Deploy unified authentication and centralized user management across all Kartel platforms, enabling the Community → Generative → Production user journey with single sign-on for all users (internal, client, and community).",draft,[],Full user journey functional (Community → Generative → Production),Niels,N/A,Spec,MVP,Live,Optimized,text
Department,Platform,dg_platform_26_2gc0,Niels Hoffmann,"Enterprise clients require demonstrated security maturity before approving vendors. The specific compliance requirements vary by client—some may require SOC2, others may have different standards. What's non-negotiable is that client data must be protected, and all data, training, and workflows must be built with enterprise-grade protections. Platform owns the technical controls (access management, logging, encryption, infrastructure hardening) that form the foundation of security readiness.","Implement technical controls that protect client data and meet enterprise security requirements, achieving compliance certifications (e.g., SOC2) as required by whale client deals.",draft,[],"Security controls implemented (access mgmt, logging, encryption, infrastructure)",Niels,N/A,Baseline,Core,Complete,Audit-ready,text
Department,Platform,dg_platform_26_2gc0,Niels Hoffmann,"Enterprise clients require demonstrated security maturity before approving vendors. The specific compliance requirements vary by client—some may require SOC2, others may have different standards. What's non-negotiable is that client data must be protected, and all data, training, and workflows must be built with enterprise-grade protections. Platform owns the technical controls (access management, logging, encryption, infrastructure hardening) that form the foundation of security readiness.","Implement technical controls that protect client data and meet enterprise security requirements, achieving compliance certifications (e.g., SOC2) as required by whale client deals.",draft,[],Client data isolation verified (air-gapped where required),Niels,N/A,Assessed,Implemented,Verified,Documented,text
Department,Platform,dg_platform_26_2gc0,Niels Hoffmann,"Enterprise clients require demonstrated security maturity before approving vendors. The specific compliance requirements vary by client—some may require SOC2, others may have different standards. What's non-negotiable is that client data must be protected, and all data, training, and workflows must be built with enterprise-grade protections. Platform owns the technical controls (access management, logging, encryption, infrastructure hardening) that form the foundation of security readiness.","Implement technical controls that protect client data and meet enterprise security requirements, achieving compliance certifications (e.g., SOC2) as required by whale client deals.",draft,[],"Compliance certification (SOC2 or equivalent, if required by clients)",Niels,N/A,TBD,TBD,TBD,TBD,text
Department,Platform,dg_platform_26_fgq4,Niels Hoffmann,"Current operations rely on manual coordination across client engagements. To support 10+ concurrent clients without linear headcount growth, Kartel needs a unified platform that manages the full client lifecycle—from job requests and asset ingestion, through LoRA training outputs and generated media, to client feedback and final deliverables. The Enterprise Platform gives enterprise clients a professional interface for collaboration and approval workflows, while giving internal teams (Production and Generative) the tools to manage work efficiently. Platform's role is integration: connecting Fill's Generative Platform into the larger ecosystem with proper data organization, user access, and workflow connections.","Deploy the Enterprise Platform (Client Portal + Production Management) to support 10+ concurrent client engagements, with full integration to Fill's Generative Platform.",draft,[],"Production Management in use (jobs, milestones, resources, handoffs)",Niels,N/A,MVP,v1.0,Iterate,Iterate,text
Department,Platform,dg_platform_26_fgq4,Niels Hoffmann,"Current operations rely on manual coordination across client engagements. To support 10+ concurrent clients without linear headcount growth, Kartel needs a unified platform that manages the full client lifecycle—from job requests and asset ingestion, through LoRA training outputs and generated media, to client feedback and final deliverables. The Enterprise Platform gives enterprise clients a professional interface for collaboration and approval workflows, while giving internal teams (Production and Generative) the tools to manage work efficiently. Platform's role is integration: connecting Fill's Generative Platform into the larger ecosystem with proper data organization, user access, and workflow connections.","Deploy the Enterprise Platform (Client Portal + Production Management) to support 10+ concurrent client engagements, with full integration to Fill's Generative Platform.",draft,[],"Client Portal live (job requests, asset management, feedback, deliverables)",Niels,N/A,MVP,v1.0,Iterate,Iterate,text
Department,Platform,dg_platform_26_fgq4,Niels Hoffmann,"Current operations rely on manual coordination across client engagements. To support 10+ concurrent clients without linear headcount growth, Kartel needs a unified platform that manages the full client lifecycle—from job requests and asset ingestion, through LoRA training outputs and generated media, to client feedback and final deliverables. The Enterprise Platform gives enterprise clients a professional interface for collaboration and approval workflows, while giving internal teams (Production and Generative) the tools to manage work efficiently. Platform's role is integration: connecting Fill's Generative Platform into the larger ecosystem with proper data organization, user access, and workflow connections.","Deploy the Enterprise Platform (Client Portal + Production Management) to support 10+ concurrent client engagements, with full integration to Fill's Generative Platform.",draft,[],"Generative Platform integration (LoRA outputs, media assets accessible)",Niels,N/A,Spec,MVP,v1.0,Iterate,text
Department,Platform,dg_platform_26_ndxj,Niels Hoffmann,"Kartel's platform ecosystem spans multiple systems—Enterprise Platform, Generative Platform, Community systems, and Kartel Labs. Today, each system manages users independently with fragmented authentication. This creates duplicated effort, inconsistent access control, and friction for both internal users and clients. Most critically, the Talent Engine depends on a seamless user journey: community members need to flow from Discord into the open parts of the Generative Platform, then into Production Platform when they qualify for pod work. Unified identity makes this journey possible.","Deploy unified authentication and centralized user management across all Kartel platforms, enabling the Community → Generative → Production user journey with single sign-on for all users (internal, client, and community).",draft,[],Centralized user management system live,Niels,N/A,Spec,MVP,v1.0,Live,text
Department,Platform,dg_platform_26_ndxj,Niels Hoffmann,"Kartel's platform ecosystem spans multiple systems—Enterprise Platform, Generative Platform, Community systems, and Kartel Labs. Today, each system manages users independently with fragmented authentication. This creates duplicated effort, inconsistent access control, and friction for both internal users and clients. Most critically, the Talent Engine depends on a seamless user journey: community members need to flow from Discord into the open parts of the Generative Platform, then into Production Platform when they qualify for pod work. Unified identity makes this journey possible.","Deploy unified authentication and centralized user management across all Kartel platforms, enabling the Community → Generative → Production user journey with single sign-on for all users (internal, client, and community).",draft,[],"Identity providers supported (Google, Discord)",Niels,N/A,1,2,2,2,text
Department,Platform,dg_platform_26_ndxj,Niels Hoffmann,"Kartel's platform ecosystem spans multiple systems—Enterprise Platform, Generative Platform, Community systems, and Kartel Labs. Today, each system manages users independently with fragmented authentication. This creates duplicated effort, inconsistent access control, and friction for both internal users and clients. Most critically, the Talent Engine depends on a seamless user journey: community members need to flow from Discord into the open parts of the Generative Platform, then into Production Platform when they qualify for pod work. Unified identity makes this journey possible.","Deploy unified authentication and centralized user management across all Kartel platforms, enabling the Community → Generative → Production user journey with single sign-on for all users (internal, client, and community).",draft,[],"Platforms integrated with SSO (Enterprise, Generative, Community, Labs)",Niels,N/A,—,1,2,4,text
Department,Platform,dg_platform_26_ndxj,Niels Hoffmann,"Kartel's platform ecosystem spans multiple systems—Enterprise Platform, Generative Platform, Community systems, and Kartel Labs. Today, each system manages users independently with fragmented authentication. This creates duplicated effort, inconsistent access control, and friction for both internal users and clients. Most critically, the Talent Engine depends on a seamless user journey: community members need to flow from Discord into the open parts of the Generative Platform, then into Production Platform when they qualify for pod work. Unified identity makes this journey possible.","Deploy unified authentication and centralized user management across all Kartel platforms, enabling the Community → Generative → Production user journey with single sign-on for all users (internal, client, and community).",draft,[],Discord → Generative Platform connection (credits/generation access),Niels,N/A,MVP,v1.0,Live,Optimized,text
Department,Platform,dg_platform_26_ndxj,Niels Hoffmann,"Kartel's platform ecosystem spans multiple systems—Enterprise Platform, Generative Platform, Community systems, and Kartel Labs. Today, each system manages users independently with fragmented authentication. This creates duplicated effort, inconsistent access control, and friction for both internal users and clients. Most critically, the Talent Engine depends on a seamless user journey: community members need to flow from Discord into the open parts of the Generative Platform, then into Production Platform when they qualify for pod work. Unified identity makes this journey possible.","Deploy unified authentication and centralized user management across all Kartel platforms, enabling the Community → Generative → Production user journey with single sign-on for all users (internal, client, and community).",draft,[],Full user journey functional (Community → Generative → Production),Niels,N/A,Spec,MVP,Live,Optimized,text
Department,Platform,dg_platform_26_nvi2,Niels Hoffmann,"Current operations rely on manual coordination across client engagements. To support 10+ concurrent clients without linear headcount growth, Kartel needs a unified platform that manages the full client lifecycle—from job requests and asset ingestion, through LoRA training outputs and generated media, to client feedback and final deliverables. The Enterprise Platform gives enterprise clients a professional interface for collaboration and approval workflows, while giving internal teams (Production and Generative) the tools to manage work efficiently. Platform's role is integration: connecting Fill's Generative Platform into the larger ecosystem with proper data organization, user access, and workflow connections.","Deploy the Enterprise Platform (Client Portal + Production Management) to support 10+ concurrent client engagements, with full integration to Fill's Generative Platform.",draft,[],"Production Management in use (jobs, milestones, resources, handoffs)",Niels,N/A,MVP,v1.0,Iterate,Iterate,text
Department,Platform,dg_platform_26_nvi2,Niels Hoffmann,"Current operations rely on manual coordination across client engagements. To support 10+ concurrent clients without linear headcount growth, Kartel needs a unified platform that manages the full client lifecycle—from job requests and asset ingestion, through LoRA training outputs and generated media, to client feedback and final deliverables. The Enterprise Platform gives enterprise clients a professional interface for collaboration and approval workflows, while giving internal teams (Production and Generative) the tools to manage work efficiently. Platform's role is integration: connecting Fill's Generative Platform into the larger ecosystem with proper data organization, user access, and workflow connections.","Deploy the Enterprise Platform (Client Portal + Production Management) to support 10+ concurrent client engagements, with full integration to Fill's Generative Platform.",draft,[],"Client Portal live (job requests, asset management, feedback, deliverables)",Niels,N/A,MVP,v1.0,Iterate,Iterate,text
Department,Platform,dg_platform_26_nvi2,Niels Hoffmann,"Current operations rely on manual coordination across client engagements. To support 10+ concurrent clients without linear headcount growth, Kartel needs a unified platform that manages the full client lifecycle—from job requests and asset ingestion, through LoRA training outputs and generated media, to client feedback and final deliverables. The Enterprise Platform gives enterprise clients a professional interface for collaboration and approval workflows, while giving internal teams (Production and Generative) the tools to manage work efficiently. Platform's role is integration: connecting Fill's Generative Platform into the larger ecosystem with proper data organization, user access, and workflow connections.","Deploy the Enterprise Platform (Client Portal + Production Management) to support 10+ concurrent client engagements, with full integration to Fill's Generative Platform.",draft,[],"Generative Platform integration (LoRA outputs, media assets accessible)",Niels,N/A,Spec,MVP,v1.0,Iterate,text
Department,Platform,dg_platform_26_tts5,Niels Hoffmann,"Enterprise clients require demonstrated security maturity before approving vendors. The specific compliance requirements vary by client—some may require SOC2, others may have different standards. What's non-negotiable is that client data must be protected, and all data, training, and workflows must be built with enterprise-grade protections. Platform owns the technical controls (access management, logging, encryption, infrastructure hardening) that form the foundation of security readiness.","Implement technical controls that protect client data and meet enterprise security requirements, achieving compliance certifications (e.g., SOC2) as required by whale client deals.",draft,[],"Security controls implemented (access mgmt, logging, encryption, infrastructure)",Niels,N/A,Baseline,Core,Complete,Audit-ready,text
Department,Platform,dg_platform_26_tts5,Niels Hoffmann,"Enterprise clients require demonstrated security maturity before approving vendors. The specific compliance requirements vary by client—some may require SOC2, others may have different standards. What's non-negotiable is that client data must be protected, and all data, training, and workflows must be built with enterprise-grade protections. Platform owns the technical controls (access management, logging, encryption, infrastructure hardening) that form the foundation of security readiness.","Implement technical controls that protect client data and meet enterprise security requirements, achieving compliance certifications (e.g., SOC2) as required by whale client deals.",draft,[],Client data isolation verified (air-gapped where required),Niels,N/A,Assessed,Implemented,Verified,Documented,text
Department,Platform,dg_platform_26_tts5,Niels Hoffmann,"Enterprise clients require demonstrated security maturity before approving vendors. The specific compliance requirements vary by client—some may require SOC2, others may have different standards. What's non-negotiable is that client data must be protected, and all data, training, and workflows must be built with enterprise-grade protections. Platform owns the technical controls (access management, logging, encryption, infrastructure hardening) that form the foundation of security readiness.","Implement technical controls that protect client data and meet enterprise security requirements, achieving compliance certifications (e.g., SOC2) as required by whale client deals.",draft,[],"Compliance certification (SOC2 or equivalent, if required by clients)",Niels,N/A,TBD,TBD,TBD,TBD,text
Department,Production,dg_production_26_20r9,Wayan Palmieri,"Kartel's business model depends on clients continuously requesting jobs through the platform. We charge monthly fees ($25-50K minimum) because clients get ongoing value from their workflows. Production must deliver against client workflow agreements (e.g., 3-day turnaround) to prove the model works. High request volume + on-time delivery = retention + expansion. Enterprise buyers expect predictability; acquirers and investors care about margins.","Achieve 50% production margin, 90%+ on-time delivery against workflow SLAs, and growing client platform engagement.",active,[],Production Margin,Wayan,N/A,40,45,48,50,text
Department,Production,dg_production_26_20r9,Wayan Palmieri,"Kartel's business model depends on clients continuously requesting jobs through the platform. We charge monthly fees ($25-50K minimum) because clients get ongoing value from their workflows. Production must deliver against client workflow agreements (e.g., 3-day turnaround) to prove the model works. High request volume + on-time delivery = retention + expansion. Enterprise buyers expect predictability; acquirers and investors care about margins.","Achieve 50% production margin, 90%+ on-time delivery against workflow SLAs, and growing client platform engagement.",active,[],On-Time Delivery vs. Workflow SLA,Wayan,N/A,80,85,90,90,text
Department,Production,dg_production_26_20r9,Wayan Palmieri,"Kartel's business model depends on clients continuously requesting jobs through the platform. We charge monthly fees ($25-50K minimum) because clients get ongoing value from their workflows. Production must deliver against client workflow agreements (e.g., 3-day turnaround) to prove the model works. High request volume + on-time delivery = retention + expansion. Enterprise buyers expect predictability; acquirers and investors care about margins.","Achieve 50% production margin, 90%+ on-time delivery against workflow SLAs, and growing client platform engagement.",active,[],Client job requests submitted (platform),Wayan,N/A,Baseline,25,50,75,text
Department,Production,dg_production_26_20r9,Wayan Palmieri,"Kartel's business model depends on clients continuously requesting jobs through the platform. We charge monthly fees ($25-50K minimum) because clients get ongoing value from their workflows. Production must deliver against client workflow agreements (e.g., 3-day turnaround) to prove the model works. High request volume + on-time delivery = retention + expansion. Enterprise buyers expect predictability; acquirers and investors care about margins.","Achieve 50% production margin, 90%+ on-time delivery against workflow SLAs, and growing client platform engagement.",active,[],Client NPS Score (collected by Sales),Ben,N/A,Baseline,40,45,50,text
Department,Production,dg_production_26_7wkp,Wayan Palmieri,"Production is the connective tissue between Sales promises, Generative execution, and client outcomes. Every client engagement lives or dies on four handoffs: (1) Sales closes, Production scopes in the platform; (2) Production requests pod resources from Generative; (3) Generative delivers back to Production for client; (4) Production delivers Closing Report to Sales for NPS, re-engagement, and case study creation. These handoffs must be tracked in the Production Platform—not Slack, not email, not tribal knowledge. We cannot scale to 20 clients without handoff discipline. We cannot win without them.",Establish and enforce a platform-tracked handoff system that scales Production from 6 to 20 active client engagements with measurable compliance across all four handoffs.,active,[],Active client engagements,Wayan,N/A,6,12,16,20,text
Department,Production,dg_production_26_7wkp,Wayan Palmieri,"Production is the connective tissue between Sales promises, Generative execution, and client outcomes. Every client engagement lives or dies on four handoffs: (1) Sales closes, Production scopes in the platform; (2) Production requests pod resources from Generative; (3) Generative delivers back to Production for client; (4) Production delivers Closing Report to Sales for NPS, re-engagement, and case study creation. These handoffs must be tracked in the Production Platform—not Slack, not email, not tribal knowledge. We cannot scale to 20 clients without handoff discipline. We cannot win without them.",Establish and enforce a platform-tracked handoff system that scales Production from 6 to 20 active client engagements with measurable compliance across all four handoffs.,active,[],Handoff #1 Compliance (Sales→Prod),Wayan + Ben,N/A,80,90,95,100,text
